0	cluster_ensemble_based_technique
1	clustering_algorithm
2	web_service_service
3	remote_control
4	industrial_automation
5	automatic_in_feeding
6	image_fusion_based_method
7	fusion_concept
8	motion_control
9	control_program
10	pattern_recognition
11	descriptor
12	equalization
13	image_enhancement
14	image_sensor
15	signal_analysis
16	data_mining
17	processing_module
18	classification_of_the_tumor
19	probabilistic_neural_network
20	sensor
21	wearable_technology
22	low_power
23	healthcare_care
24	web_server
25	computing_system_device
26	classification_algorithm
27	classification_accuracy
28	acoustic_sound_feature
29	control_design
30	optimal_control
31	neural_network
32	data_fusion
33	software_development
34	data_processing
35	agriculture
36	authentication
37	identification_way
38	motor_vehicle
39	dry_battery
40	gasoline_engine
41	portable_electronic_device
42	battery_and_storage_device
43	storage_system_device
44	electric_generator
45	implantable_device
46	permanent_magnet_synchronous_motor_control
47	rotating_speed_s
48	elevator
49	detection_monitoring_device
50	congestion_window
51	data_packet
52	network_processor
53	intermediate_node
54	virtual_channel
55	bluetooth
56	bluetooth_device
57	transmitter_and_receiver_node
58	robotic_manipulator
59	manipulator
60	transmission_gear
61	motor
62	transverse_moving_mechanism
63	thread_thread
64	rotary_drum
65	spindle_box
66	wheel_shaft
67	control_switch_s
68	storage_battery
69	walking_mechanism_i
70	lifting_mechanism
71	remote_controller
72	md5_algorithm_module
73	hash
74	digital_signature
75	portable_device
76	steel_plate_cutting_device
77	rotary_shaft_a
78	mobile_terminal
79	electricity
80	output_device
81	trimming_device_body
82	signal_send_receiver_device
83	loading_machine
84	sensing_device
85	dial_indicator
86	probe
87	probe_station
88	secret_key
89	fingerprint_recognition
90	fingerprint_identification_system_device
91	image_acquisition
92	user_identification
93	biometric_technology
94	search_engine
95	naive_bayes_classification_methodology
96	machine_learning_technique_s
97	detection_rate
98	wsns
99	data_transmission
100	data_migration
101	business_process
102	composition_concept
103	machining
104	work_platform
105	location_based_service
106	internet_of_thing
107	supervisory_and_control_system
108	security_system
109	smart_city
110	ontology_engineering
111	radio
112	electric_power
113	electric_vehicle
114	battery_pack_pack
115	battery_module_control_system
116	hierarchical_routing_protocol
117	leach_l
118	amplifier
119	audio_signal
120	display
121	spectrogram
122	image_processing_application
123	image_segmentation
124	anti_noise_capability
125	mean_shift
126	fpc_board
127	printed_circuit_board
128	display_display_screen
129	intelligent_control_device_system
130	positioning_system
131	surface_of_the_support_arm
132	square_intraductal_support_arm
133	dimensionality_reduction
134	data_analytics
135	conveying_device_a
136	conveying_mechanism_on
137	speech_recognition_system
138	feature_extraction
139	character_recognition
140	optical_fiber
141	topological_structure
142	android
143	smart_device
